Number,Name,Address,Latitude,Longitude
32,LA TABLE,RUE DE LA BARRE,50.633,3.0586
125,PANCOOK,RUE COLBERT,50.631752,3.043578
179,M'EATING,AV.DE DUNKERQUE,50.6307424,3.0344337
70,L'EMPIRE,RUE DE LA JUSTICE,50.6210678,3.0555342
1,SEBASTOPOL,PL. SEBASTOPOL,50.6288593,3.0589418
80,LOS 3 COMPADRES,RUE BRULE MAISON,50.6259636,3.0611375
17,AUX EPHERITES, RUE NICOLAS LEBLANC,50.6297058,3.061448
164,CHEZ MAX BISTROT LILLOIS,RUE SOLFERINO,50.633,3.0586
13,YOL,PL. JACQUARD,50.631555,3.064435
56,FIVE GUYS LILLE BETHUNE,RUE DE BETHUNE,50.633401,3.06286
29,IBIS KITCHEN, AV. CHARLES SAINT-VENANT,50.634679,3.070844
34,GARAGE LES RESTAURANTS,BD CARNOT,50.639273,3.067316
97,MAMA RESTAURANT LILLE, PL. SAINT-HUBERT,50.63923,3.070471
1,WATAN RESTAURANT,RUE BOURJEMBOIS,50.63194,3.089268
130,AUX JOURS HEUREUX,AV. DE LA REPUBLIQUE,50.646629 ,3.076561
75, NERI RESTAURANT,RUE DU PRESIDENT GEORGES POMPIDOU,50.653781,50.653781
613,L’ANNEXE,AV. DE LA REPUBLIQUE,50.654738,3.085341
26,  LA LUNA,PL. DE LA GARE,50.660357,3.073083
